airport_code,airport_name,enplanements,year
LAN,Capital Region International,186341,2011
STX,Henry E Rohlsen,184331,2011
MRY,Monterey Peninsula,181640,2011
GPI,Glacier Park International,179064,2011
GNV,Gainesville Regional,177282,2011
DRO,Durango-La Plata County,175649,2011
TVC,Cherry Capital,170977,2011
OAJ,Albert J Ellis,170118,2011
EVV,Evansville Regional,169426,2011
ACK,Nantucket Memorial,169352,2011
GTF,Great Falls International,168158,2011
ELM,Elmira/Corning Regional,152582,2011
BET,Bethel,152366,2011
MOT,Minot International,151424,2011
IDA,Idaho Falls Regional,149315,2011
AZO,Kalamazoo/Battle Creek International,148634,2011
BFL,Meadows Field,148347,2011
PGD,Punta Gorda,147698,2011
DLH,Duluth International,146620,2011
UNV,University Park,144054,2011
PBG,Plattsburgh International,139698,2011
MBS,MBS International,136594,2011
CWA,Central Wisconsin,135965,2011
LNK,Lincoln,135647,2011
SBP,San Luis County Regional,132692,2011
EWN,Coastal Carolina Regional,124085,2011
ITH,Ithaca Tompkins Regional,121733,2011
GFK,Grand Forks International,118872,2011
IFP,Laughlin/Bullhead International,113280,2011
ERI,Erie International/Tom Ridge Field,112749,2011
HTS,Tri-State/Milton J. Ferguson Field,112522,2011
RST,Rochester International,110295,2011
BGM,Greater Binghamton/Edwin A Link Field,108172,2011
MLU,Monroe Regional,107290,2011
HDN,Yampa Valley,106534,2011
LSE,La Crosse Municipal,102958,2011
RFD,Chicago/Rockford International,102559,2011
STS,Charles M. Schulz - Sonoma County,102414,2011
KTN,Ketchikan International,102086,2011
LRD,Laredo International,101780,2011
HLN,Helena Regional,100695,2011
HYA,Barnstable Municipal-Boardman/Polando Field,100596,2011
IAG,Niagara Falls International,98982,2011
PSE,Mercedita,95658,2011
ENA,Kenai Municipal,90806,2011
MTJ,Montrose Regional,87228,2011
BRO,Brownsville/South Padre Island International,85244,2011
FSM,Fort Smith Regional,84136,2011
CMI,University of Illinois-Willard,83731,2011
NYL,Yuma MCAS/Yuma International,82420,2011
MKK,Molokai,82136,2011
ADQ,Kodiak,81149,2011
TOL,Toledo Express,81127,2011
ABI,Abilene Regional,80434,2011
CSG,Columbus Metropolitan,78718,2011
CPR,Casper/Natrona County International,77758,2011
LYH,Lynchburg Regional/Preston Glenn Field,73821,2011
TYR,Tyler Pounds Regional,72602,2011
SBY,Salisbury-Ocean City Wicomico Regional,72568,2011
SPI,Abraham Lincoln Capital,71862,2011
CLL,Easterwood Field,71555,2011
1G4,Grand Canyon West,71316,2011
ACV,Arcata,70455,2011
FLO,Florence Regional,68169,2011
SIT,Sitka Rocky Gutierrez,65193,2011
LAW,Lawton-Fort Sill Regional,63909,2011
LWS,Lewiston-Nez Perce County,62845,2011
OTZ,Ralph Wien Memorial,62738,2011
PGV,Pitt-Greenville,62071,2011
LCH,Lake Charles Regional,61325,2011
ACT,Waco Regional,61164,2011
HXD,Hilton Head,61006,2011
FLG,Flagstaff Pulliam,60831,2011
OME,Nome,58892,2011
MHK,Manhattan Regional,58672,2011
SCK,Stockton Metropolitan,56044,2011
YKM,Yakima Air Terminal/McAllister Field,55902,2011
VQS,Antonio Rivera Rodriguez,55647,2011
SJT,San Angelo Regional/Mathis Field,54955,2011
SAW,Sawyer International,52326,2011
EAT,Pangborn Memorial,50927,2011
SUN,Friedman Memorial,50885,2011
MVY,Marthas Vineyard,49095,2011
SGU,St George Municipal,48582,2011
GRI,Central Nebraska Regional,47167,2011
DHN,Dothan Regional,46388,2011
CRQ,McClellan-Palomar,45518,2011
PPG,Pago Pago International,45486,2011
FNL,Fort Collins-Loveland Municipal,44999,2011
LNY,Lanai,43596,2011
SAF,Santa Fe Municipal,43329,2011
UTA,Tunica Municipal,41670,2011
SMX,Santa Maria Public/Capt G Allan Hancock Field,41620,2011
BRW,Wiley Post-Will Rogers Memorial,41083,2011
COU,Columbia Regional,40990,2011
AKN,King Salmon,40345,2011
HVN,Tweed-New Haven,40074,2011
PUW,Pullman/Moscow Regional,39134,2011
TWF,Joslin Field - Magic Valley Regional,38533,2011
RDD,Redding Municipal,38290,2011
VLD,Valdosta Regional,38066,2011
SCC,Deadhorse,37711,2011
ROW,Roswell International Air Center,37262,2011
SPS,Sheppard AFB/Wichita Falls Municipal,37248,2011
YNG,Youngstown-Warren Regional,37048,2011
LBE,Arnold Palmer Regional,36971,2011
GUC,Gunnison-Crested Butte Regional,36516,2011
DBQ,Dubuque Regional,36148,2011
HOM,Homer,35863,2011
GTR,Golden Triangle Regional,35860,2011
BFI,Boeing Field/King County International,34434,2011
ABY,Southwest Georgia Regional,33627,2011
GCC,Gillette-Campbell County,32846,2011
ALW,Walla Walla Regional,32139,2011
BQK,Brunswick Golden Isles,31655,2011
DLG,Dillingham,30406,2011
DUT,Unalaska,30048,2011
TXK,Texarkana Regional-Webb Field,28698,2011
ISN,Sloulin Field International,28202,2011
RVR,Jose Aponte De La Torre,28165,2011
SUX,Sioux Gateway/Col. Bud Day Field,28137,2011
COD,Yellowstone Regional,28019,2011
JLN,Joplin Regional,27379,2011
RHI,Rhinelander-Oneida County,26764,2011
RKS,Rock Springs-Sweetwater County,26219,2011
MMH,Mammoth Yosemite,26201,2011
CYS,Cheyenne Regional/Jerry Olson Field,25112,2011
BTM,Bert Mooney,24806,2011
IPT,Williamsport Regional,24508,2011
ABR,Aberdeen Regional,24503,2011
PGA,Page Municipal,23938,2011
BJI,Bemidji Regional,23910,2011
EKO,Elko Regional,23543,2011
LHD,Lake Hood,23497,2011
MRI,Merrill Field,23344,2011
CMX,Houghton County Memorial,23024,2011
PLN,Pellston Regional Airport of Emmet County,22708,2011
PUB,Pueblo Memorial,22470,2011
ALO,Waterloo Regional,22297,2011
OTH,Southwest Oregon Regional,22066,2011
PIH,Pocatello Regional,21566,2011
GGG,East Texas Regional,21112,2011
GRO,Rota International,20961,2011
CIC,Chico Municipal,20881,2011
SIG,Fernando Luis Ribas Dominicci,20353,2011
EAU,Chippewa Valley Regional,19097,2011
DIK,Dickinson - Theodore Roosevelt Regional,19001,2011
CIU,Chippewa County International,18717,2011
MOD,Modesto City County-Harry Sham Field,18683,2011
PSG,Petersburg James A Johnson,18318,2011
MEI,Key Field,18008,2011
PAH,Barkley Regional,17978,2011
CDV,Merle K (Mudhole) Smith,17731,2011
BRD,Brainerd Lakes Regional,17574,2011
OWB,Owensboro-Daviess County,17296,2011
LWB,Greenbrier Valley,17281,2011
CVX,Charlevoix Municipal,16852,2011
TNI,Tinian International,16706,2011
RKD,Knox County Regional,16680,2011
FMN,Four Corners Regional,16322,2011
ANI,Aniak,16217,2011
VDZ,Valdez Pioneer Field,16147,2011
PIB,Hattiesburg-Laurel Regional,16095,2011
LMT,Klamath Falls,15856,2011
INL,Falls International,15157,2011
CEC,Jack McNamara Field,14887,2011
PVU,Provo Municipal,14858,2011
PIR,Pierre Regional,14802,2011
RIW,Riverton Regional,14299,2011
PQI,Northern Maine Regional Airport at Presque Isle,14264,2011
MKG,Muskegon County,14101,2011
BPT,Jack Brooks Regional,13670,2011
ESC,Delta County,13478,2011
SHR,Sheridan County,13324,2011
TUP,Tupelo Regional,12615,2011
BHB,Hancock County-Bar Harbor,12510,2011
KSM,St Mary's,12415,2011
UNK,Unalakleet,12332,2011
APN,Alpena County Regional,12320,2011
HIB,Range Regional,12272,2011
SHD,Shenandoah Valley Regional,12033,2011
CKB,North Central West Virginia,12012,2011
MBA,Manokotak,11828,2011
GCK,Garden City Regional,11690,2011
WRG,Wrangell,11674,2011
MCW,Mason City Municipal,11594,2011
GST,Gustavus,11537,2011
HYS,Hays Regional,11397,2011
IMT,Ford,11324,2011
FHR,Friday Harbor,11283,2011
MBL,Manistee County-Blacker,11220,2011
EWB,New Bedford Regional,11152,2011
EAR,Kearney Regional,11019,2011
TEX,Telluride Regional,11017,2011
PVC,Provincetown Municipal,10967,2011
LBF,North Platte Regional Airport Lee Bird Field,10962,2011
BED,Laurence G Hanscom Field,10893,2011
FOD,Fort Dodge Regional,10866,2011
GAL,Edward G. Pitka Sr,10862,2011
HNH,Hoonah,10815,2011
MGW,Morgantown Municipal-Walter L. Bill Hart Field,10674,2011
MWA,Williamson County Regional,10558,2011
YAK,Yakutat,10517,2011
BID,Block Island State,10164,2011
ATL,Hartsfield - Jackson Atlanta International,43130585,2010
ORD,Chicago O'Hare International,32171831,2010
LAX,Los Angeles International,28857755,2010
DFW,Dallas/Fort Worth International,27100656,2010
DEN,Denver International,25241962,2010
JFK,John F Kennedy International,22934047,2010
SFO,San Francisco International,19359003,2010
LAS,McCarran International,18996738,2010
PHX,Phoenix Sky Harbor International,18907171,2010
IAH,George Bush Intercontinental/Houston,19528631,2010
CLT,Charlotte/Douglas International,18629181,2010
MIA,Miami International,17017654,2010
MCO,Orlando International,17017491,2010
EWR,Newark Liberty International,16571754,2010
SEA,Seattle-Tacoma International,15406243,2010
MSP,Minneapolis-St Paul International/Wold-Chamberlain,15512487,2010
DTW,Detroit Metropolitan Wayne County,15643890,2010
PHL,Philadelphia International,14951254,2010
BOS,General Edward Lawrence Logan International,13561814,2010
LGA,La Guardia,12001501,2010
FLL,Fort Lauderdale/Hollywood International,10829810,2010
BWI,Baltimore/Washington International Thurgood Marshall,10848633,2010
IAD,Washington Dulles International,11276481,2010
SLC,Salt Lake City International,9910493,2010
MDW,Chicago Midway International,8518957,2010
DCA,Ronald Reagan Washington National,8736804,2010
HNL,Honolulu International,8740077,2010
SAN,San Diego International,8430509,2010
TPA,Tampa International,8137222,2010
PDX,Portland International,6582227,2010
STL,Lambert-St Louis International,6044760,2010
MCI,Kansas City International,4946173,2010
HOU,William P Hobby,4357835,2010
BNA,Nashville International,4432527,2010
